,Kod,Nazwa,IAL_Salony
325,3002000,Powiat czarnkowsko-trzcianecki,32
0,201000,Powiat bolesławiecki,31
246,2214000,Powiat tczewski,31
310,2808000,Powiat kętrzyński,30
45,416000,Powiat tucholski,30
142,1406000,Powiat grójecki,30
371,3213000,Powiat sławieński,30
169,1434000,Powiat wołomiński,30
372,3214000,Powiat stargardzki,30
374,3216000,Powiat świdwiński,30
215,1864000,Powiat m.Tarnobrzeg,30
189,1611000,Powiat strzelecki,29
340,3017000,Powiat ostrowski,29
245,2213000,Powiat starogardzki,29
348,3025000,Powiat średzki,29
33,404000,Powiat chełmiński,29
66,614000,Powiat puławski,29
73,661000,Powiat m.Biała Podlaska,29
24,225000,Powiat zgorzelecki,28
70,618000,Powiat tomaszowski,28
135,1262000,Powiat m.Nowy Sącz,28
351,3028000,Powiat wągrowiecki,28
359,3201000,Powiat białogardzki,28
268,2416000,Powiat zawierciański,28
279,2470000,Powiat m.Mysłowice,27
54,602000,Powiat biłgorajski,27
309,2807000,Powiat iławski,27
14,215000,Powiat oławski,27
113,1062000,Powiat m.Piotrków Trybunalski,27
18,219000,Powiat świdnicki,27
105,1015000,Powiat skierniewicki,27
373,3215000,Powiat szczecinecki,27
79,803000,Powiat międzyrzecki,26
217,2002000,Powiat białostocki,26
341,3018000,Powiat ostrzeszowski,26
185,1607000,Powiat nyski,26
184,1606000,Powiat namysłowski,26
295,2607000,Powiat ostrowiecki,26
290,2602000,Powiat jędrzejowski,26
35,406000,Powiat grudziądzki,26
225,2010000,Powiat siemiatycki,25
30,401000,Powiat aleksandrowski,25
343,3020000,Powiat pleszewski,25
219,2004000,Powiat grajewski,25
229,2014000,Powiat zambrowski,25
127,1213000,Powiat oświęcimski,25
227,2012000,Powiat suwalski,25
188,1610000,Powiat prudnicki,25
186,1608000,Powiat oleski,25
363,3205000,Powiat gryficki,24
247,2215000,Powiat wejherowski,24
297,2609000,Powiat sandomierski,24
313,2811000,Powiat nidzicki,24
155,1419000,Powiat płocki,24
332,3009000,Powiat kolski,24
165,1429000,Powiat sokołowski,24
187,1609000,Powiat opolski,24
364,3206000,Powiat gryfiński,24
133,1219000,Powiat wielicki,23
36,407000,Powiat inowrocławski,23
96,1006000,Powiat łódzki wschodni,23
318,2816000,Powiat piski,23
156,1420000,Powiat płoński,23
228,2013000,Powiat wysokomazowiecki,23
269,2417000,Powiat żywiecki,23
199,1809000,Powiat lubaczowski,23
237,2205000,Powiat kartuski,23
254,2402000,Powiat bielski,23
349,3026000,Powiat śremski,23
253,2401000,Powiat będziński,22
326,3003000,Powiat gnieźnieński,22
375,3217000,Powiat wałecki,22
2,203000,Powiat głogowski,22
63,611000,Powiat łukowski,21
306,2804000,Powiat elbląski,21
92,1002000,Powiat kutnowski,21
222,2007000,Powiat łomżyński,21
368,3210000,Powiat myśliborski,21
110,1020000,Powiat zgierski,21
