,Kod,Nazwa,IAL_Wypożyczalnie
273,2464000,Powiat m.Częstochowa,68
190,1661000,Powiat m.Opole,68
49,461000,Powiat m.Bydgoszcz,68
42,413000,Powiat sępoleński,67
323,2862000,Powiat m.Olsztyn,67
213,1862000,Powiat m.Przemyśl,67
83,807000,Powiat sulęciński,66
322,2861000,Powiat m.Elbląg,66
27,262000,Powiat m.Legnica,66
176,1463000,Powiat m.Radom,66
378,3262000,Powiat m.Szczecin,66
197,1807000,Powiat krośnieński,65
212,1861000,Powiat m.Krosno,64
311,2809000,Powiat lidzbarski,64
208,1818000,Powiat stalowowolski,63
240,2208000,Powiat lęborski,63
1,202000,Powiat dzierżoniowski,62
34,405000,Powiat golubsko-dobrzyński,61
363,3205000,Powiat gryficki,61
278,2469000,Powiat m.Katowice,61
99,1009000,Powiat pajęczański,60
250,2262000,Powiat m.Gdynia,60
82,806000,Powiat strzelecko-drezdenecki,60
45,416000,Powiat tucholski,60
351,3028000,Powiat wągrowiecki,60
135,1262000,Powiat m.Nowy Sącz,59
355,3061000,Powiat m.Kalisz,59
52,464000,Powiat m.Włocławek,58
285,2476000,Powiat m.Świętochłowice,58
78,802000,Powiat krośnieński,58
334,3011000,Powiat kościański,58
81,805000,Powiat słubicki,58
77,801000,Powiat gorzowski,58
170,1435000,Powiat wyszkowski,57
352,3029000,Powiat wolsztyński,57
70,618000,Powiat tomaszowski,57
286,2477000,Powiat m.Tychy,57
101,1011000,Powiat poddębicki,56
309,2807000,Powiat iławski,56
369,3211000,Powiat policki,56
84,808000,Powiat świebodziński,56
124,1210000,Powiat nowosądecki,55
241,2209000,Powiat malborski,55
29,265000,Powiat m.Wałbrzych od 2013,55
113,1062000,Powiat m.Piotrków Trybunalski,54
235,2203000,Powiat człuchowski,54
119,1205000,Powiat gorlicki,54
20,221000,Powiat wałbrzyski,54
302,2661000,Powiat m.Kielce,54
168,1433000,Powiat węgrowski,54
91,1001000,Powiat bełchatowski,54
74,662000,Powiat m.Chełm,53
185,1607000,Powiat nyski,53
106,1016000,Powiat tomaszowski,53
220,2005000,Powiat hajnowski,53
174,1461000,Powiat m.Ostrołęka,53
270,2461000,Powiat m.Bielsko-Biała,53
93,1003000,Powiat łaski,53
356,3062000,Powiat m.Konin,53
236,2204000,Powiat gdański,52
238,2206000,Powiat kościerski,52
338,3015000,Powiat nowotomyski,52
324,3001000,Powiat chodzieski,52
149,1413000,Powiat mławski,52
189,1611000,Powiat strzelecki,52
90,862000,Powiat m.Zielona Góra,51
375,3217000,Powiat wałecki,51
248,2216000,Powiat sztumski,51
312,2810000,Powiat mrągowski,51
188,1610000,Powiat prudnicki,51
242,2210000,Powiat nowodworski,51
85,809000,Powiat zielonogórski,50
224,2009000,Powiat sejneński,50
313,2811000,Powiat nidzicki,50
201,1811000,Powiat mielecki,50
80,804000,Powiat nowosolski,50
153,1417000,Powiat otwocki,50
331,3008000,Powiat kępiński,50
327,3004000,Powiat gostyński,50
86,810000,Powiat żagański,49
247,2215000,Powiat wejherowski,49
225,2010000,Powiat siemiatycki,49
227,2012000,Powiat suwalski,48
43,414000,Powiat świecki,48
46,417000,Powiat wąbrzeski,48
33,404000,Powiat chełmiński,48
7,208000,Powiat kłodzki,48
340,3017000,Powiat ostrowski,48
258,2406000,Powiat kłobucki,48
109,1019000,Powiat zduńskowolski,48
372,3214000,Powiat stargardzki,47
9,210000,Powiat lubański,47
73,661000,Powiat m.Biała Podlaska,47
310,2808000,Powiat kętrzyński,47
21,222000,Powiat wołowski,47
267,2415000,Powiat wodzisławski,47
263,2411000,Powiat raciborski,47
255,2403000,Powiat cieszyński,47
24,225000,Powiat zgorzelecki,47
125,1211000,Powiat nowotarski,47
0,201000,Powiat bolesławiecki,47
166,1430000,Powiat szydłowiecki,46
280,2471000,Powiat m.Piekary Śląskie,46
306,2804000,Powiat elbląski,46
233,2201000,Powiat bytowski,46
218,2003000,Powiat bielski,46
144,1408000,Powiat legionowski,46
108,1018000,Powiat wieruszowski,46
215,1864000,Powiat m.Tarnobrzeg,45
329,3006000,Powiat jarociński,45
175,1462000,Powiat m.Płock,44
157,1421000,Powiat pruszkowski,44
348,3025000,Powiat średzki,44
60,608000,Powiat lubartowski,44
275,2466000,Powiat m.Gliwice,44
14,215000,Powiat oławski,44
254,2402000,Powiat bielski,43
72,620000,Powiat zamojski,43
307,2805000,Powiat ełcki,43
317,2815000,Powiat ostródzki,43
326,3003000,Powiat gnieźnieński,43
262,2410000,Powiat pszczyński,43
96,1006000,Powiat łódzki wschodni,42
66,614000,Powiat puławski,42
